epoch,accuracy,loss,val_accuracy,val_loss
0,0.5,1.4385606050491333,0.5,0.6033966541290283
1,0.5,1.0202380021413167,0.5,0.9447436332702637
2,0.56666666,0.7694741686185201,0.44999998807907104,0.8599761128425598
3,0.5,0.7575678825378418,0.5,0.8810684084892273
4,0.53333336,0.7690854668617249,0.44999998807907104,0.6336538791656494
5,0.55,0.748645563920339,0.5,0.89167320728302
6,0.6166667,0.6860854427019755,0.550000011920929,0.6658110618591309
7,0.68333334,0.6181658208370209,0.6499999761581421,0.708279550075531
8,0.68333334,0.57896488904953,0.8500000238418579,0.49529433250427246
9,0.68333334,0.5597697297732035,0.75,0.5769039392471313
10,0.7,0.5443443258603414,0.75,0.6340802907943726
11,0.71666664,0.5222088495890299,0.75,0.46516650915145874
12,0.75,0.4977576434612274,0.8500000238418579,0.41583189368247986
13,0.8,0.47332026561101276,0.8999999761581421,0.4477207660675049
14,0.81666666,0.45671435197194415,0.8999999761581421,0.5396233797073364
15,0.8333333,0.4405334194501241,0.8999999761581421,0.512732744216919
16,0.8333333,0.42563950022061664,0.8999999761581421,0.5447861552238464
17,0.8333333,0.41432281335194904,0.8999999761581421,0.5206865072250366
18,0.8333333,0.40238962570826214,0.8999999761581421,0.47873419523239136
19,0.8333333,0.3862886130809784,0.949999988079071,0.3456423878669739
20,0.8333333,0.3783625364303589,0.949999988079071,0.3151325583457947
21,0.8333333,0.3673625588417053,0.949999988079071,0.32682129740715027
22,0.8333333,0.35652539134025574,0.949999988079071,0.45581331849098206
23,0.8333333,0.34605510036150616,0.949999988079071,0.45702284574508667
24,0.85,0.33796470363934833,0.949999988079071,0.3474103808403015
25,0.8666667,0.3291220963001251,0.949999988079071,0.2907639145851135
26,0.8666667,0.32187790671984357,0.949999988079071,0.3543606698513031
27,0.8666667,0.3142859836419423,0.949999988079071,0.30500999093055725
28,0.8833333,0.30652178327242535,0.949999988079071,0.4190942645072937
29,0.8833333,0.2997414966424306,0.949999988079071,0.28434592485427856
