epoch,accuracy,loss,val_accuracy,val_loss
0,0.53846157,0.8182572814134451,0.5,1.0686286687850952
1,0.59615386,0.6700920325059158,0.5,0.8934302926063538
2,0.61538464,0.5805058479309082,0.550000011920929,1.0631381273269653
3,0.6964286,0.534524815423148,0.6000000238418579,0.5830091238021851
4,0.7307692,0.5061602867566622,0.6000000238418579,1.076474905014038
5,0.78846157,0.46239834565382737,0.699999988079071,0.37686726450920105
6,0.8076923,0.4274953512045053,0.6499999761581421,0.527756929397583
7,0.86538464,0.38691280209101164,0.699999988079071,1.3721444606781006
8,0.88461536,0.3642547268133897,0.75,0.6788448691368103
9,0.90384614,0.2906040193942877,0.75,0.3554109036922455
10,0.86538464,0.3947067249279756,0.8500000238418579,1.1501165628433228
11,0.85714287,0.34182154280798777,0.75,0.3662850558757782
12,0.9423077,0.24953922170859116,0.8500000238418579,0.3992580473423004
13,0.8333333,0.3142956563582023,0.8500000238418579,0.9201563596725464
14,0.89285713,0.27894699786390575,0.8500000238418579,0.26546400785446167
15,0.88461536,0.2797413353736584,0.8500000238418579,1.1938199996948242
16,0.86538464,0.27443729684903073,0.8500000238418579,0.9512362480163574
17,0.9230769,0.23023716990764326,0.8500000238418579,0.3498991131782532
18,0.89285713,0.2660831702607019,0.8500000238418579,0.5262449979782104
19,0.9166667,0.22234983618060747,0.8500000238418579,0.8861374258995056
