epoch,accuracy,loss,val_accuracy,val_loss
0,0.4985755,0.8530996898640255,0.5,0.8356472849845886
1,0.64387465,0.6589327402349211,0.6071428656578064,0.6556164026260376
2,0.7321937,0.5021080063958453,0.7053571343421936,0.6136227250099182
3,0.8005698,0.42839736132710066,0.7589285969734192,0.4972778856754303
4,0.84045583,0.3635764896360218,0.75,0.4360949993133545
5,0.83475786,0.37489812651336024,0.7946428656578064,0.5362520217895508
6,0.88533336,0.306125486890475,0.8482142686843872,0.5118902921676636
7,0.87461776,0.31438678119115143,0.8303571343421936,0.5002214312553406
8,0.92266667,0.24892785648504892,0.8839285969734192,0.2437884360551834
9,0.91168094,0.26479574575213627,0.8839285969734192,0.3296351134777069
10,0.9296636,0.2232449456639246,0.9017857313156128,0.4903261363506317
11,0.91466665,0.24617125391960143,0.9166666865348816,0.29594913125038147
12,0.93162394,0.21687621806092836,0.9285714030265808,0.2334926575422287
13,0.9430199,0.19783519853723694,0.9285714030265808,0.1710004061460495
14,0.92877495,0.2011008924695841,0.9285714030265808,0.1281358003616333
15,0.94586897,0.1997494981584386,0.9553571343421936,0.17556704580783844
16,0.95156693,0.17692472484291788,0.8839285969734192,0.138497993350029
17,0.9546667,0.1736868679523468,0.9375,0.10185250639915466
18,0.96941894,0.1498512154237142,0.9553571343421936,0.133795827627182
19,0.944,0.16933642278114955,0.9196428656578064,0.19865114986896515
20,0.96011394,0.1530810648262331,0.9375,0.2059590369462967
21,0.96636087,0.1400170116272359,0.9464285969734192,0.43814605474472046
22,0.9573333,0.14418394317229588,0.9416666626930237,0.0989692211151123
23,0.96866095,0.1295821771245885,0.9375,0.15969674289226532
24,0.974359,0.1278813611450698,0.9285714030265808,0.32408979535102844
